synthetic_transaction_id,synthetic_user_id,timestamp,dataset_split,target_scenario_label,anomaly_score_raw,anomaly_score,transparent_baseline_score,baseline_signal_amount_deviation,baseline_signal_time_deviation,baseline_signal_rapid_repeat,baseline_signal_novelty,baseline_signal_history_limited,synthetic_label_evaluation_only,synthetic_label_notice
syn-transaction-000001,syn-user-0425,2024-01-01T00:07:54Z,train,normal,2.09673074,0.776967,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000014,syn-user-0493,2024-01-01T02:43:07Z,train,normal,2.09413104,0.775958,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000015,syn-user-0228,2024-01-01T02:44:19Z,train,normal,1.42204329,0.515211,0.246038,0.15346,0.0,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000016,syn-user-0056,2024-01-01T02:57:06Z,train,normal,2.05307512,0.76003,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000017,syn-user-0463,2024-01-01T03:11:09Z,train,synthetic_high_amount,2.11870248,0.785491,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000018,syn-user-0387,2024-01-01T03:13:32Z,train,normal,2.07607221,0.768952,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000019,syn-user-0228,2024-01-01T03:14:47Z,train,normal,1.33069189,0.47977,0.203797,0.234877,0.166667,0.0,0.5,0.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000020,syn-user-0332,2024-01-01T03:19:48Z,train,normal,2.2285659,0.828114,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000021,syn-user-0331,2024-01-01T03:20:44Z,train,synthetic_unusual_time,2.06528275,0.764766,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000022,syn-user-0207,2024-01-01T03:23:06Z,train,normal,2.06281336,0.763808,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000023,syn-user-0201,2024-01-01T03:24:13Z,train,synthetic_unusual_time,2.0766352,0.769171,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000024,syn-user-0292,2024-01-01T03:25:39Z,train,synthetic_high_amount,2.02426727,0.748854,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000025,syn-user-0228,2024-01-01T03:25:40Z,train,normal,1.73425266,0.636338,0.522222,1.0,0.111111,0.0,1.0,0.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000026,syn-user-0024,2024-01-01T03:27:17Z,train,normal,2.08436195,0.772168,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000027,syn-user-0374,2024-01-01T03:28:46Z,train,normal,2.08479177,0.772335,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000028,syn-user-0375,2024-01-01T03:29:43Z,train,normal,2.11303215,0.783291,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000029,syn-user-0463,2024-01-01T03:36:09Z,train,normal,0.96893452,0.339421,0.466447,0.888157,0.0,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000030,syn-user-0181,2024-01-01T03:52:33Z,train,normal,2.03435216,0.752766,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000031,syn-user-0296,2024-01-01T03:53:29Z,train,normal,2.08789157,0.773538,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000032,syn-user-0315,2024-01-01T04:10:15Z,train,normal,2.11404578,0.783685,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000033,syn-user-0211,2024-01-01T04:17:13Z,train,synthetic_behavior_deviation,2.033188,0.752315,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000034,syn-user-0315,2024-01-01T04:19:26Z,train,normal,0.9329092,0.325444,0.389384,0.297948,0.0,1.0,0.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000035,syn-user-0219,2024-01-01T04:20:15Z,train,normal,2.08167233,0.771125,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000036,syn-user-0406,2024-01-01T04:28:07Z,train,normal,2.02251316,0.748173,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000037,syn-user-0297,2024-01-01T04:30:04Z,train,synthetic_behavior_deviation,2.08488169,0.77237,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000038,syn-user-0328,2024-01-01T04:37:20Z,train,normal,2.04518604,0.756969,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000039,syn-user-0075,2024-01-01T04:46:04Z,train,synthetic_unusual_time,2.06712063,0.765479,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000040,syn-user-0077,2024-01-01T04:47:31Z,train,synthetic_high_amount,2.09577061,0.776594,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000041,syn-user-0399,2024-01-01T05:01:57Z,train,normal,2.09157407,0.774966,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000042,syn-user-0344,2024-01-01T05:03:23Z,train,synthetic_high_amount,2.67160897,1.0,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000043,syn-user-0283,2024-01-01T05:08:24Z,train,normal,2.05672954,0.761448,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000044,syn-user-0131,2024-01-01T05:33:44Z,train,normal,2.04849375,0.758253,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000045,syn-user-0269,2024-01-01T05:43:40Z,train,normal,2.17566818,0.807592,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000046,syn-user-0031,2024-01-01T05:49:00Z,train,synthetic_unusual_time,2.00671639,0.742044,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000047,syn-user-0090,2024-01-01T05:50:01Z,train,normal,2.0534477,0.760175,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000048,syn-user-0225,2024-01-01T05:57:29Z,train,normal,2.03056918,0.751298,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000049,syn-user-0006,2024-01-01T06:06:14Z,train,synthetic_behavior_deviation,2.02023541,0.747289,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000050,syn-user-0462,2024-01-01T06:07:01Z,train,normal,2.23312718,0.829884,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000051,syn-user-0037,2024-01-01T06:14:57Z,train,synthetic_high_amount,2.10898512,0.781721,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000052,syn-user-0193,2024-01-01T06:22:27Z,train,normal,2.08256518,0.771471,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000053,syn-user-0293,2024-01-01T06:26:14Z,train,normal,2.01320818,0.744563,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000054,syn-user-0293,2024-01-01T06:30:50Z,train,synthetic_rapid_repeat,0.50905739,0.161004,0.408651,0.028838,0.0,1.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000055,syn-user-0037,2024-01-01T06:31:03Z,train,normal,0.67641406,0.225933,0.388725,0.629083,0.0,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000056,syn-user-0457,2024-01-01T06:34:46Z,train,normal,2.06154249,0.763315,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000057,syn-user-0189,2024-01-01T06:52:18Z,train,normal,2.01915663,0.746871,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000058,syn-user-0343,2024-01-01T06:57:13Z,train,synthetic_high_amount,2.01213783,0.744148,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000059,syn-user-0348,2024-01-01T06:58:32Z,train,normal,2.05513725,0.76083,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000060,syn-user-0032,2024-01-01T06:59:59Z,train,normal,2.03432863,0.752757,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000061,syn-user-0480,2024-01-01T07:12:18Z,train,synthetic_unusual_time,2.11682202,0.784762,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000062,syn-user-0104,2024-01-01T07:25:10Z,train,normal,2.00692489,0.742125,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000063,syn-user-0137,2024-01-01T07:25:14Z,train,normal,2.0219199,0.747943,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000064,syn-user-0006,2024-01-01T07:30:13Z,train,synthetic_rapid_repeat,0.52880037,0.168664,0.256673,0.077797,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000065,syn-user-0211,2024-01-01T07:46:16Z,train,normal,1.25843366,0.451736,0.496263,0.320876,0.5,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000066,syn-user-0059,2024-01-01T08:09:40Z,train,normal,2.00238955,0.740366,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000067,syn-user-0101,2024-01-01T08:33:56Z,train,synthetic_unusual_time,2.21788218,0.82397,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000068,syn-user-0427,2024-01-01T08:35:22Z,train,normal,2.01418531,0.744942,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000069,syn-user-0229,2024-01-01T08:36:09Z,train,normal,2.01134003,0.743838,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000070,syn-user-0150,2024-01-01T08:42:42Z,train,synthetic_behavior_deviation,1.98092355,0.732038,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000071,syn-user-0412,2024-01-01T08:45:50Z,train,normal,2.03634745,0.75354,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000072,syn-user-0452,2024-01-01T08:55:26Z,train,normal,2.00812224,0.74259,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000073,syn-user-0003,2024-01-01T08:59:46Z,train,normal,2.00293568,0.740578,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000074,syn-user-0054,2024-01-01T09:01:52Z,train,normal,1.99241312,0.736495,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000075,syn-user-0412,2024-01-01T09:05:44Z,train,synthetic_rapid_repeat,0.53320401,0.170372,0.38223,0.496321,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000076,syn-user-0150,2024-01-01T09:11:03Z,train,normal,1.28893133,0.463568,0.243812,0.034929,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000077,syn-user-0076,2024-01-01T09:37:38Z,train,normal,2.00949658,0.743123,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000078,syn-user-0059,2024-01-01T10:07:40Z,train,synthetic_rapid_repeat,0.69444861,0.232929,0.317749,0.503607,0.333333,0.0,0.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000079,syn-user-0416,2024-01-01T10:29:43Z,train,synthetic_high_amount,2.02049733,0.747391,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000080,syn-user-0305,2024-01-01T10:35:18Z,train,normal,1.96519985,0.725937,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000081,syn-user-0305,2024-01-01T11:02:36Z,train,normal,1.30557111,0.470024,0.27217,0.129455,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000082,syn-user-0145,2024-01-01T11:13:21Z,train,normal,1.9590042,0.723534,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000083,syn-user-0011,2024-01-01T11:22:34Z,train,normal,2.00757786,0.742379,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000084,syn-user-0031,2024-01-01T11:33:31Z,train,normal,1.3865542,0.501443,0.673654,0.578846,1.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000085,syn-user-0318,2024-01-01T11:33:52Z,train,synthetic_high_amount,1.97544882,0.729914,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000086,syn-user-0120,2024-01-01T11:36:24Z,train,synthetic_unusual_time,2.10587813,0.780516,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000087,syn-user-0289,2024-01-01T11:39:48Z,train,normal,1.9827862,0.73276,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000088,syn-user-0063,2024-01-01T11:53:41Z,train,normal,2.00179629,0.740136,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000089,syn-user-0485,2024-01-01T12:05:31Z,train,normal,1.97514263,0.729795,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000090,syn-user-0066,2024-01-01T12:10:37Z,train,normal,1.99357456,0.736946,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000091,syn-user-0468,2024-01-01T12:21:12Z,train,synthetic_high_amount,1.95505882,0.722003,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000092,syn-user-0134,2024-01-01T12:40:50Z,train,normal,2.02828256,0.750411,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000093,syn-user-0158,2024-01-01T12:41:54Z,train,normal,1.99098381,0.735941,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000094,syn-user-0130,2024-01-01T12:46:47Z,train,normal,2.00298184,0.740596,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000095,syn-user-0059,2024-01-01T12:55:42Z,train,synthetic_behavior_deviation,1.22189061,0.437559,0.44972,0.499068,0.5,0.0,1.0,0.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000096,syn-user-0247,2024-01-01T12:57:12Z,train,normal,2.14600588,0.796084,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000097,syn-user-0471,2024-01-01T13:03:38Z,train,normal,2.03100757,0.751469,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000098,syn-user-0488,2024-01-01T13:07:18Z,train,normal,1.98197206,0.732444,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000099,syn-user-0149,2024-01-01T13:18:29Z,train,synthetic_behavior_deviation,1.9535766,0.721428,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000100,syn-user-0478,2024-01-01T13:27:50Z,train,normal,2.03053223,0.751284,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000101,syn-user-0345,2024-01-01T13:32:07Z,train,normal,1.96685568,0.72658,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000102,syn-user-0322,2024-01-01T13:35:02Z,train,normal,2.01673399,0.745931,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000103,syn-user-0354,2024-01-01T13:35:32Z,train,synthetic_high_amount,2.19741749,0.81603,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000104,syn-user-0331,2024-01-01T13:40:50Z,train,normal,1.51360493,0.550734,0.495425,0.318085,1.0,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000105,syn-user-0340,2024-01-01T13:41:46Z,train,normal,2.02871011,0.750577,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000106,syn-user-0400,2024-01-01T13:51:35Z,train,normal,2.01537709,0.745404,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000107,syn-user-0197,2024-01-01T13:54:58Z,train,normal,2.04660265,0.757519,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000108,syn-user-0180,2024-01-01T13:55:54Z,train,normal,1.97158882,0.728416,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000109,syn-user-0139,2024-01-01T14:02:36Z,train,normal,1.97210908,0.728618,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000110,syn-user-0166,2024-01-01T14:05:11Z,train,synthetic_unusual_time,1.95927331,0.723638,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000111,syn-user-0285,2024-01-01T14:10:22Z,train,normal,2.05552221,0.760979,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000112,syn-user-0185,2024-01-01T14:12:22Z,train,synthetic_unusual_time,2.16580872,0.803767,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000113,syn-user-0232,2024-01-01T14:20:55Z,train,synthetic_unusual_time,1.97240575,0.728733,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000114,syn-user-0118,2024-01-01T14:27:12Z,train,normal,1.99011625,0.735604,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000115,syn-user-0192,2024-01-01T14:27:15Z,train,synthetic_unusual_time,2.04416133,0.756572,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000116,syn-user-0197,2024-01-01T14:28:21Z,train,synthetic_high_amount,1.0771175,0.381392,0.533333,1.0,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000117,syn-user-0237,2024-01-01T14:30:07Z,train,normal,1.97427844,0.72946,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000118,syn-user-0107,2024-01-01T14:30:35Z,train,synthetic_unusual_time,2.00442017,0.741154,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000119,syn-user-0118,2024-01-01T14:32:24Z,train,synthetic_rapid_repeat,1.17133843,0.417946,0.557742,0.192472,0.0,1.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000120,syn-user-0379,2024-01-01T14:44:26Z,train,normal,1.97476052,0.729647,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000121,syn-user-0325,2024-01-01T14:56:37Z,train,normal,2.0458267,0.757218,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000122,syn-user-0325,2024-01-01T14:59:40Z,train,synthetic_behavior_deviation,1.3520973,0.488075,0.516871,0.056237,0.0,1.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000123,syn-user-0142,2024-01-01T15:13:28Z,train,synthetic_high_amount,2.0514425,0.759397,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000124,syn-user-0334,2024-01-01T15:17:39Z,train,normal,2.03229419,0.751968,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000125,syn-user-0195,2024-01-01T15:19:35Z,train,normal,2.00925891,0.743031,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000126,syn-user-0379,2024-01-01T15:20:17Z,train,normal,1.39046138,0.502959,0.30851,0.25059,0.166667,0.0,0.5,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000127,syn-user-0280,2024-01-01T15:21:24Z,train,synthetic_unusual_time,2.001458,0.740004,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000128,syn-user-0194,2024-01-01T15:39:08Z,train,synthetic_unusual_time,2.02665252,0.749779,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000129,syn-user-0052,2024-01-01T15:41:53Z,train,normal,2.00060509,0.739673,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000130,syn-user-0142,2024-01-01T15:42:03Z,train,normal,1.02588079,0.361514,0.36535,0.8845,0.0,0.0,0.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000131,syn-user-0167,2024-01-01T15:45:41Z,train,normal,2.06481766,0.764586,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000132,syn-user-0240,2024-01-01T15:50:27Z,train,normal,1.98089211,0.732025,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
syn-transaction-000133,syn-user-0119,2024-01-01T15:55:31Z,train,normal,2.00946455,0.743111,0.3,0.0,0.0,0.0,1.0,1.0,true,Offline synthetic scenario reference only; not real-world ground truth.
