synthetic_transaction_id,synthetic_user_id,synthetic_account_id,timestamp,amount,currency,synthetic_merchant_id,merchant_category,transaction_channel,transaction_state,scenario_label,scenario_id,is_synthetic_scenario,label_source,label_definition,dataset_type,synthetic,source_system,dataset_version,transaction_hour,day_of_week,user_historical_transaction_count_before,user_historical_average_amount_before,time_since_previous_transaction_seconds,user_historical_category_frequency_before,dataset_split,scenario_injection_reason,generator_rule
syn-transaction-000011,syn-user-0433,syn-account-0433,2024-01-01T06:30:08Z,3992.61,INR,syn-merchant-0064,food,WALLET_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000011,True,generator_rule,An amount intentionally increased relative to the synthetic user's ordinary range.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,0,0.00,,0.0,train,An amount intentionally increased relative to the synthetic user's ordinary range.,Multiply the user's ordinary amount draw by a controlled factor.
syn-transaction-000012,syn-user-0205,syn-account-0205,2024-01-01T06:31:03Z,796.89,INR,syn-merchant-0030,healthcare,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000012,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000013,syn-user-0433,syn-account-0433,2024-01-01T06:38:32Z,887.53,INR,syn-merchant-0004,food,CARD_SIMULATED,COMPLETED,synthetic_rapid_repeat,syn-scenario-000013,True,generator_rule,A generated transaction placed shortly after the same user's prior activity.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,1,3992.61,504,1.0,train,A generated transaction placed shortly after the same user's prior activity.,Place the transaction 1-10 minutes after the prior synthetic user event and usually reuse its merchant.
syn-transaction-000014,syn-user-0308,syn-account-0308,2024-01-01T06:41:18Z,413.88,INR,syn-merchant-0075,entertainment,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000014,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,6,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000015,syn-user-0227,syn-account-0227,2024-01-01T07:07:58Z,413.75,INR,syn-merchant-0057,shopping,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000015,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000016,syn-user-0086,syn-account-0086,2024-01-01T07:14:16Z,891.53,INR,syn-merchant-0020,other,QR_SIMULATED,COMPLETED,normal,syn-scenario-000016,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000017,syn-user-0203,syn-account-0203,2024-01-01T07:21:40Z,594.16,INR,syn-merchant-0073,bills,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000017,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000018,syn-user-0294,syn-account-0294,2024-01-01T07:21:55Z,2122.00,INR,syn-merchant-0079,home,QR_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000018,True,generator_rule,An amount intentionally increased relative to the synthetic user's ordinary range.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,An amount intentionally increased relative to the synthetic user's ordinary range.,Multiply the user's ordinary amount draw by a controlled factor.
syn-transaction-000019,syn-user-0093,syn-account-0093,2024-01-01T07:22:07Z,528.95,INR,syn-merchant-0067,home,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000019,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000020,syn-user-0014,syn-account-0014,2024-01-01T07:51:17Z,1120.34,INR,syn-merchant-0006,healthcare,QR_SIMULATED,COMPLETED,normal,syn-scenario-000020,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000021,syn-user-0487,syn-account-0487,2024-01-01T07:52:29Z,877.73,INR,syn-merchant-0046,subscriptions,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000021,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,7,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000022,syn-user-0242,syn-account-0242,2024-01-01T08:42:43Z,931.60,INR,syn-merchant-0003,entertainment,BANK_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000022,True,generator_rule,An amount intentionally increased relative to the synthetic user's ordinary range.,synthetic_research,True,SpendShield synthetic generator,v1,8,0,0,0.00,,0.0,train,An amount intentionally increased relative to the synthetic user's ordinary range.,Multiply the user's ordinary amount draw by a controlled factor.
syn-transaction-000023,syn-user-0298,syn-account-0298,2024-01-01T08:47:21Z,462.10,INR,syn-merchant-0087,entertainment,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000023,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,8,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000024,syn-user-0447,syn-account-0447,2024-01-01T08:49:55Z,464.06,INR,syn-merchant-0022,subscriptions,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000024,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,8,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000025,syn-user-0026,syn-account-0026,2024-01-01T09:01:04Z,641.67,INR,syn-merchant-0074,education,QR_SIMULATED,COMPLETED,normal,syn-scenario-000025,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000026,syn-user-0408,syn-account-0408,2024-01-01T09:16:33Z,600.86,INR,syn-merchant-0024,travel,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000026,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000027,syn-user-0022,syn-account-0022,2024-01-01T09:21:21Z,779.77,INR,syn-merchant-0007,home,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000027,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000028,syn-user-0246,syn-account-0246,2024-01-01T09:23:41Z,1081.68,INR,syn-merchant-0077,grocery,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000028,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000029,syn-user-0186,syn-account-0186,2024-01-01T09:37:13Z,449.29,INR,syn-merchant-0054,healthcare,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000029,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000030,syn-user-0400,syn-account-0400,2024-01-01T09:41:33Z,437.50,INR,syn-merchant-0008,other,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000030,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000031,syn-user-0226,syn-account-0226,2024-01-01T09:42:24Z,732.63,INR,syn-merchant-0095,transport,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000031,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000032,syn-user-0210,syn-account-0210,2024-01-01T09:42:49Z,1057.24,INR,syn-merchant-0019,home,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000032,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000033,syn-user-0210,syn-account-0210,2024-01-01T09:47:23Z,1345.03,INR,syn-merchant-0019,home,WALLET_SIMULATED,COMPLETED,synthetic_rapid_repeat,syn-scenario-000033,True,generator_rule,A generated transaction placed shortly after the same user's prior activity.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,1,1057.24,274,1.0,train,A generated transaction placed shortly after the same user's prior activity.,Place the transaction 1-10 minutes after the prior synthetic user event and usually reuse its merchant.
syn-transaction-000034,syn-user-0277,syn-account-0277,2024-01-01T09:47:36Z,2556.77,INR,syn-merchant-0008,other,CARD_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000034,True,generator_rule,An amount intentionally increased relative to the synthetic user's ordinary range.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,An amount intentionally increased relative to the synthetic user's ordinary range.,Multiply the user's ordinary amount draw by a controlled factor.
syn-transaction-000035,syn-user-0309,syn-account-0309,2024-01-01T09:59:32Z,402.98,INR,syn-merchant-0051,entertainment,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000035,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,9,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000036,syn-user-0465,syn-account-0465,2024-01-01T10:08:26Z,372.33,INR,syn-merchant-0034,subscriptions,QR_SIMULATED,COMPLETED,normal,syn-scenario-000036,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,10,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000037,syn-user-0307,syn-account-0307,2024-01-01T10:13:16Z,403.05,INR,syn-merchant-0027,entertainment,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000037,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,10,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000038,syn-user-0466,syn-account-0466,2024-01-01T10:30:28Z,1348.55,INR,syn-merchant-0085,bills,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000038,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,10,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000039,syn-user-0088,syn-account-0088,2024-01-01T10:35:36Z,836.69,INR,syn-merchant-0079,home,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000039,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,10,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000040,syn-user-0072,syn-account-0072,2024-01-01T10:43:28Z,335.83,INR,syn-merchant-0088,food,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000040,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,10,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000041,syn-user-0488,syn-account-0488,2024-01-01T11:04:17Z,471.36,INR,syn-merchant-0034,subscriptions,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000041,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000042,syn-user-0284,syn-account-0284,2024-01-01T11:09:13Z,1555.03,INR,syn-merchant-0047,transport,QR_SIMULATED,COMPLETED,normal,syn-scenario-000042,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000043,syn-user-0300,syn-account-0300,2024-01-01T11:14:57Z,1030.81,INR,syn-merchant-0065,grocery,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000043,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000044,syn-user-0111,syn-account-0111,2024-01-01T11:36:29Z,1140.27,INR,syn-merchant-0036,travel,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000044,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000045,syn-user-0053,syn-account-0053,2024-01-01T11:41:37Z,2064.45,INR,syn-merchant-0010,subscriptions,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000045,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000046,syn-user-0283,syn-account-0283,2024-01-01T11:49:14Z,341.10,INR,syn-merchant-0047,transport,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000046,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000047,syn-user-0340,syn-account-0340,2024-01-01T11:54:25Z,1049.25,INR,syn-merchant-0025,bills,QR_SIMULATED,COMPLETED,normal,syn-scenario-000047,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,11,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000048,syn-user-0213,syn-account-0213,2024-01-01T12:01:48Z,973.15,INR,syn-merchant-0021,shopping,QR_SIMULATED,COMPLETED,normal,syn-scenario-000048,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000049,syn-user-0243,syn-account-0243,2024-01-01T12:03:41Z,464.42,INR,syn-merchant-0057,shopping,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000049,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000050,syn-user-0018,syn-account-0018,2024-01-01T12:18:00Z,653.68,INR,syn-merchant-0057,shopping,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000050,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000051,syn-user-0322,syn-account-0322,2024-01-01T12:39:09Z,571.25,INR,syn-merchant-0003,entertainment,QR_SIMULATED,COMPLETED,normal,syn-scenario-000051,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000052,syn-user-0415,syn-account-0415,2024-01-01T12:51:00Z,360.09,INR,syn-merchant-0003,entertainment,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000052,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000053,syn-user-0162,syn-account-0162,2024-01-01T12:56:18Z,1118.25,INR,syn-merchant-0070,subscriptions,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000053,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,12,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000054,syn-user-0135,syn-account-0135,2024-01-01T13:03:22Z,1119.61,INR,syn-merchant-0079,home,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000054,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,13,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000055,syn-user-0134,syn-account-0134,2024-01-01T13:05:57Z,244.75,INR,syn-merchant-0072,travel,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000055,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,13,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000056,syn-user-0393,syn-account-0393,2024-01-01T14:33:23Z,769.70,INR,syn-merchant-0051,entertainment,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000056,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,14,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000057,syn-user-0185,syn-account-0185,2024-01-01T14:46:45Z,4597.52,INR,syn-merchant-0053,grocery,BANK_SIMULATED,COMPLETED,synthetic_high_amount,syn-scenario-000057,True,generator_rule,An amount intentionally increased relative to the synthetic user's ordinary range.,synthetic_research,True,SpendShield synthetic generator,v1,14,0,0,0.00,,0.0,train,An amount intentionally increased relative to the synthetic user's ordinary range.,Multiply the user's ordinary amount draw by a controlled factor.
syn-transaction-000058,syn-user-0489,syn-account-0489,2024-01-01T15:09:59Z,1668.38,INR,syn-merchant-0018,healthcare,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000058,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,15,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000059,syn-user-0058,syn-account-0058,2024-01-01T15:54:08Z,1936.59,INR,syn-merchant-0052,food,BANK_SIMULATED,COMPLETED,normal,syn-scenario-000059,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,15,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000060,syn-user-0267,syn-account-0267,2024-01-01T16:11:28Z,914.93,INR,syn-merchant-0023,transport,CARD_SIMULATED,COMPLETED,normal,syn-scenario-000060,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,16,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000061,syn-user-0268,syn-account-0268,2024-01-01T16:14:01Z,993.23,INR,syn-merchant-0074,education,QR_SIMULATED,COMPLETED,normal,syn-scenario-000061,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,16,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
syn-transaction-000062,syn-user-0108,syn-account-0108,2024-01-01T16:52:44Z,786.09,INR,syn-merchant-0094,subscriptions,WALLET_SIMULATED,COMPLETED,normal,syn-scenario-000062,True,generator_rule,A generated transaction using the user's ordinary synthetic behavior.,synthetic_research,True,SpendShield synthetic generator,v1,16,0,0,0.00,,0.0,train,A generated transaction using the user's ordinary synthetic behavior.,"Preferred category/merchant, typical hour, and ordinary amount draw."
